,SA1_code,apr20_test_daily_coverage
454,20603111632,3.8325177269549586
455,20604111701,3.3527111363267945
457,20604111703,32.110835401157985
458,20604111704,4.116272646928856
459,20604111705,0.8459835547122075
460,20604111706,3.610819004310548
461,20604111707,2.3668334874612413
462,20604111708,3.8847633211959587
463,20604111709,4.676299989823955
464,20604111710,3.0063595292221805
465,20604111711,0.6112054329371817
466,20604111712,0.8296726315159496
467,20604111713,3.436724565756823
468,20604111714,0.20335837384003536
469,20604111715,1.32884854379424
470,20604111716,0.9425
471,20604111717,1.5560924644116494
472,20604111718,3.6492929739284135
473,20604111719,2.5545166484857926
474,20604111720,1.5664857717418252
475,20604111721,5.21332268051533
476,20604111722,2.5340917595988324
477,20604111723,3.783163127465284
478,20604111724,1197.1935483870968
479,20604111725,5.783681214421252
480,20604111726,7.578475336322869
481,20604111727,0.7544771481837184
482,20604111728,0.3696691384047879
483,20604111729,3.343748136664481
485,20604111733,0.7588652482269503
486,20604111734,0.5856275950175663
487,20604111735,4.192161591799819
488,20604111736,2.508810959545694
489,20604111801,0.22537975763782217
490,20604111802,1.8947684906794948
492,20604111805,1.504979728538692
493,20604111806,2.5560920484898295
494,20604111807,0.08644436389996375
495,20604111808,0.9171410499683744
499,20604111812,1.2189323826035994
501,20604111814,2.7912916146259525
504,20604111901,0.22156490679763366
505,20604111902,1.7275443624611255
506,20604111903,5.046111221056799
507,20604111904,0.9268075639599554
508,20604111905,20.59280211844006
509,20604111906,2.705515088449532
510,20604111907,0.4107354838709677
511,20604111908,3.8216071146661053
512,20604111909,7.039018417970829
515,20604111912,3.797488226059654
516,20604111913,32.63225806451613
517,20604111914,4.501990391214825
519,20604112001,10.288865764828303
521,20604112102,2.3900352618519003
524,20604112105,6.040727363308008
526,20604112108,3.473274115630357
527,20604112109,0.3174278252276417
528,20604112110,7.349247311827956
530,20604112112,2.603446961031038
531,20604112113,3.487441030218028
532,20604112114,0.8279842803340429
533,20604112115,2.5371331554693186
534,20604112116,1.2863550112126962
535,20604112118,7.4760385240194935
536,20604112119,2.9297352342158858
537,20604112121,1.3456689045357786
538,20604112122,2.1647835816822227
539,20604112123,1.901190733925092
540,20604112124,0.17681234824835243
541,20604112125,1.1225257711754792
542,20604112126,2.45110570095354
543,20604112127,2.5074145402022148
544,20604112128,2.533487297921478
545,20604112129,1.0918239677963337
547,20604112203,3.7975078826097497
548,20604112204,2.406456782464847
552,20604112210,4.379855167873601
562,20604112221,4.353638838894273
563,20604112222,3.693566130806629
564,20604112223,9.439146874630746
571,20604112233,4.75
572,20604112234,1.5941886234917508
573,20604112235,2.4356533529179143
574,20604112236,0.7179381272975095
578,20604112240,10.87945205479452
580,20604112242,4.210755165749963
583,20604112245,2.5039316450993745
585,20604112247,2.3586162334112033
587,20604112249,1.684873241809147
590,20604112304,2.139127527995989
591,20604112305,45.8604288856305
592,20604112306,0.7861949358307319
593,20604112307,0.3429920755623148
594,20604112308,7.4429611368235
595,20604112309,1.0756989247311828
596,20604112310,1.502257243700238
598,20604112312,1.5808301272565848
599,20604112313,0.496712553934662
600,20604112314,4.971316555680475
601,20604112315,146.27956989247312
607,20604112321,7.749461059067926
608,20604112322,6.37344398340249
609,20604112323,2.100605611172908
612,20604112326,1.9761253872790234
613,20604112327,6.625925485061304
617,20604112331,2.330637231579281
619,20604112333,1.2564084871485253
623,20604112337,6.587959489872468
624,20604112338,0.4342946335662257
625,20604112339,2.368224868717179
626,20604112340,3.123377082400622
627,20604112401,9.550967741935484
628,20604112402,12.083468553255013
630,20604112404,10.931869330969105
631,20604112406,4.466275659824047
632,20604112407,4.811683690153307
633,20604112409,7.438028346721621
634,20604112410,3.9095412048789546
636,20604112412,1.3362161479704564
638,20604112414,13.937997169489046
639,20604112415,1.1830911024459412
640,20604112416,5.126874527996547
641,20604112417,2.7624216480660446
642,20604112418,3.5728120771914833
643,20604112501,7.924917537876671
644,20604112502,2.9228231869997576
645,20604112503,0.28903019023986765
646,20604112504,2.3230495123780943
648,20604112506,5.298266215376114
649,20604112507,5.87116413806648
650,20604112508,7.1216690042075745
651,20604112509,0.6733985196015718
652,20604112510,7.740604006536342
653,20604112511,0.1365317444010684
654,20604112512,1.569165569453588
655,20604112513,10.07394540942928
656,20604112514,1.5640605066520867
657,20604112602,1.4364192179586623
659,20604112604,2.616672707502718
660,20604112605,1.207007534196474
661,20604112606,0.7684748611175949
662,20604112609,1.5657711257785627
663,20604112610,7.09513541486976
664,20604112611,3.6177195340501793
666,20604112613,1.0983419639887881
667,20604112614,8.033195478356769
668,20604112615,7.072723560636994
669,20604112616,1.8929184958961633
670,20604112617,2.46973248502437
671,20604112618,2.009756210604375
673,20604112620,0.6450779361507044
676,20604112624,5068.419354838709
677,20604112625,0.04404894327030034
679,20604112627,10.40409179476077
680,20604112628,5.58819207907567
681,20604112629,2.0187888158067135
682,20604112630,1.9003065245949498
683,20604112631,0.42237855742786373
684,20604112632,7.1547631540285845
685,20604112633,3.7516694963214494
686,20604112634,4.190655779722456
687,20604112635,2.860582908885116
690,20605112801,0.9615260958096667
691,20605112802,0.2967300044189129
692,20605112803,1.9975886828850071
693,20605112804,2.582707843923681
694,20605112805,10.286889172788246
695,20605112806,3.772909645321778
696,20605112807,8.028162802419354
697,20605112808,2.427241360424996
698,20605112809,9.740390557409468
699,20605112810,7.40009874917709
700,20605112811,0.29343376453250375
701,20605112812,2.352252892882539
702,20605112813,0.5207256012476402
705,20605112816,6.3243792063123685
706,20605112817,0.26723827797097977
707,20605112818,0.5900460829493086
708,20605112819,1.396621123646465
709,20605112820,1.2639483870967743
710,20605112821,0.500824780058651
711,20605112822,1.6361771363893607
714,20605112825,4.065668202764977
715,20605112826,1.441653294970398
716,20605112827,0.8169224765868887
717,20605112828,9.922285671066065
718,20605112830,7.44561480506181
719,20605112831,3.984454915226934
721,20605112833,3.364127923098253
722,20605112834,11.464324583170084
723,20605112835,2.913434720833552
724,20605112901,4.952042490041397
725,20605112902,0.5805445121030647
726,20605112903,0.6258548689705259
727,20605112904,0.9084474355999071
728,20605112905,0.575083426028921
729,20605112906,1.7775127061508142
730,20605112907,1.6857035270490774
731,20605112908,3.852396637891867
732,20605112909,0.34605447700597913
733,20605112910,0.15671471059254177
734,20605112911,0.30376344086021506
735,20605112912,1.8904124985950324
736,20605112913,3.667802799756543
737,20605112914,0.45339558573853983
738,20605112915,5.987564639251416
739,20605112916,2.2352909655985425
740,20605112917,184.2043010752688
744,20605112921,5.397694906272769
745,20605112922,2.9008345836459117
746,20605112923,0.7137646984845627
747,20605112924,0.9018288036576072
748,20605112925,2.223084677419355
749,20605112926,0.51049042748492
750,20605112927,1.851777180406213
751,20605112928,0.1675517159388127
752,20605112929,0.5573942186845413
753,20605112930,5.017719218537028
754,20605112931,7.650735483870967
755,20605112932,2.5105809621938655
756,20605112933,4.954921422663358
757,20605112934,1.5005673528934997
758,20605112935,7.099021023912695
759,20605112936,1.2983870967741935
760,20605112937,0.9195820081781009
761,20605112938,4.8868035190615835
762,20605112939,1.6561485169950205
763,20605112940,0.7602639296187683
764,20605113001,1.044499014026863
765,20605113002,4.815458416956288
766,20605113003,2.516731474889096
767,20605113004,5.11252021448634
768,20605113005,0.1967904036310585
769,20605113006,2.1720180045011253
770,20605113007,2.241794741879187
771,20605113008,0.6432313206506755
772,20605113009,11.783911800734993
773,20605113010,0.24312181331717908
774,20605113011,14.0853821563499
775,20605113012,7.137280058651026
776,20605113013,8.178697243904123
778,20605113015,9.607074665862728
780,20605113017,0.5166991306000285
781,20605113019,1.0699897825135016
782,20605113020,1.7815093693847865
783,20605113021,0.34596774193548385
784,20605113022,1.3911977339026762
785,20605113023,5.412592524901763
786,20605113024,0.5540959982263608
787,20605113025,6.4466073414905445
